内容,id,名称,性别,经验,点赞
"1.14版本主要修改:
.增强了画质
.移除了领舞的项链
.增长了领舞的头发长度
.胖哥 头发颜色更变
.别的不知道了",,,,,
男  人  大  可  不  必  这  么  完  美[doge][doge],,,,,
主C真的帅，自信的眼神，严肃的表情，舞蹈人般的身材，以及节奏非常强烈的肥肉抖动和收吸，加上浪子一样的发型，天王的崛起。[响指],,,,,
那我只好再发一遍了：正如大家所见，视频中的光膀男子，他来自菲律宾，名字是叫Maezon Abella，目前是23岁。Maezon Abella的职业是一位建筑工程师。他加入了一个名叫做Allan Enverga的街舞团，因为发布了这段新宝岛的视频，火起来了。这段舞蹈是他们原创的，灵感来源于数学符号“+”、“-”、“×”、“÷”、“=”，他们正式将其命名为“Mathematics Dance Challedge”，译过来就是加减乘除舞。,,,,,
[热词系列_仙人指路]众神归位！！！可是第二段的新动作叫别人怎么翻跳啊！！！！[tv_笑哭],,,,,
好耶，出4K版了，长发太帅了[tv_doge],,,,,
"明年：破亿播放 我们决定8K重置版！[藏狐]
后年：破亿播放 我们决定16K重重置版！[doge]
大后年：破亿播放 我们决定 24K重重重置版！[囧]
亿年后：破亿播放 我们决定2578********K重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重重制版！[囧][囧][囧][囧][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_妙啊][热词系列_知识增加][热词系列_可以]",,,,,
"猛男舞团2.0更新公告
1.本次更新我们调高了画质，将带给您更新奇的体验
2.加强了史诗道具“头发”，将在释放技能“秦王扫六合”是拥有更高的伤害和更大的范围
3.我们削弱了光翼展开的面积
4.更新了全新地图:公园

附:本次更新我们秉承着为玩家服务的态度。
让我们期待下次更新。",,,,,
"重制版 x
经典版 √
[doge]",,,,,
眼里有光[打call][热词系列_仙人指路],,,,,
”漆黑的夜晚，失意的男人，狂乱的肢体动作，整部作品都旨在表达一种荒谬感，一种充斥着整个人类历史的荒诞无稽。这里没有什么东西是有价值可言的，宇宙冷漠而荒谬，而人在真正面对它时，一切的现实和理智都将崩溃”,,,,,
也太强了吧！冲鸭,,,,,
"我的评价：对新宝岛的拙劣模仿
什么？本人，那没事了",,,,,
"我总结了一下自认为的几个灵魂之处：
1.光膀子
2.适当的肚腩
3.智慧的眼神
4.顿挫干净的动作
5.灵魂运镜
[热词系列_仙人指路][热词系列_仙人指路][热词系列_DNA][热词系列_DNA]",,,,,
原班人马就是棒，身材管理也可以，没有一个人减肥！[热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路][热词系列_仙人指路],,,,,
没有绚丽多彩的灯光，没有欢呼与尖叫，没有亮人眼球的服装，更没有迷人的五官与身材，夜已成了他们的唯一的舞台。那与背景音乐格格不入的表情，还有那刚柔并济的动作……这种舞让我感受到了自由与纯朴，快乐无忧。,,,,,
我想知道重录的时候他们是对着原版加减乘除的音频跳的还是对着新宝岛跳的[喜极而泣][热词系列_仙人指路][热词系列_仙人指路],,,,,
主C真的帅，自信的眼神，严肃的表情，舞蹈人般的身材，以及节奏非常强烈的肥肉抖动和收吸，加上浪子一样的发型，天王的崛起。[响指],,,,,
"被欢快的音乐，优美的舞姿吸引。
所谓好马配好鞍，好舞配好鞋。
足力健老人鞋，为你们鼓掌
👏🏻 👏🏻 👏🏻",,,,,
"脚本修复内容：
调整了成就“一睹芳容”
修复了效果“战术踉跄”
修改了技能“仙人指路”
提升了画质“4K高清”
更新追加内容：
封面重现",,,,,
内容,id,名称,性别,经验,点赞
在信息课戴耳机看视频来一句好骚啊然后无缝链接进了老师的提问，同学都笑疯了，怎么办才能挽回我的节操？,,,,,
就算是这么糊的画质，我也能感受到他们不羁的灵魂,,,,,
有年代感的画质(^・ω・^ ),,,,,
虽然扮相是奔着生草去的，可是跳得却意外得不错？→_→,,,,,
"新宝岛(×)
肥宅快乐岛(√)",,,,,
没有绚丽多彩的灯光，没有欢呼与尖叫，没有亮人眼球的服装，更没有迷人的五官与身材，夜已成了他们的唯一的舞台。那与背景音乐格格不入的表情，还有那刚柔并济的动作……这种舞让我感受到了自由与纯朴，快乐无忧。,,,,,
跳的不错啊,,,,,
这才是舞蹈区真正该有的东西[小电视_赞],,,,,
哈哈哈哈，还以为是搞笑的结果跳的真TM好[蛆音娘_大笑],,,,,
"白 等 了（x）
等 错 了（x）
震 撼 派 舞 蹈 家（✔）",,,,,
这个视频告诉我们男人可以不帅，但是一定要骚(°∀°)ﾉ,,,,,
明明身材是肥仔但看长相却意外的是个池面,,,,,
哈哈这脸面瘫一点表情都没，2个字专业,,,,,
一镜到底，全损画质，不羁灵魂,,,,,
跳得真的还可以 [蛆音娘_扶额],,,,,
真猛男版(･∀･),,,,,
内容的丰富度直接让我忽略画质,,,,,
ennnn，其实吧，把他们打扮干净，穿上一样的衣服，画风立刻帅气起来,,,,,
主C真的帅，自信的眼神，严肃的表情，舞蹈人般的身材，以及节奏非常强烈的肥肉抖动和收吸，加上浪子一样的发型，天王的崛起。[响指],,,,,
内容,id,名称,性别,经验,点赞
在信息课戴耳机看视频来一句好骚啊然后无缝链接进了老师的提问，同学都笑疯了，怎么办才能挽回我的节操？,297402477,唉刚刚好的,保密,10000,75524
就算是这么糊的画质，我也能感受到他们不羁的灵魂,90420497,深夜诗人一起嗨,男,10000,183648
有年代感的画质(^・ω・^ ),4391496,一般通过纯爱,保密,10000,89237
虽然扮相是奔着生草去的，可是跳得却意外得不错？→_→,4918235,_Sasameyuki,保密,10000,65541
"新宝岛(×)
肥宅快乐岛(√)",38069460,涵绯涵,男,10000,79718
没有绚丽多彩的灯光，没有欢呼与尖叫，没有亮人眼球的服装，更没有迷人的五官与身材，夜已成了他们的唯一的舞台。那与背景音乐格格不入的表情，还有那刚柔并济的动作……这种舞让我感受到了自由与纯朴，快乐无忧。,328640562,猪杂汤饭没猪杂,男,10000,18773
跳的不错啊,31390010,我的茉优不喝咖啡,男,10000,30833
这才是舞蹈区真正该有的东西[小电视_赞],807279,ズルいよ,男,10000,20940
哈哈哈哈，还以为是搞笑的结果跳的真TM好[蛆音娘_大笑],3377291,里维莉雅,保密,10000,11542
"白 等 了（x）
等 错 了（x）
震 撼 派 舞 蹈 家（✔）",17046560,西风是条咸鱼,保密,10000,8668
这个视频告诉我们男人可以不帅，但是一定要骚(°∀°)ﾉ,3268825,百式罗音,男,10000,6801
明明身材是肥仔但看长相却意外的是个池面,10824352,bili_3675594032,保密,10000,4317
哈哈这脸面瘫一点表情都没，2个字专业,8651277,超哥我想拿货,保密,10000,3128
一镜到底，全损画质，不羁灵魂,22908250,ASherZX,保密,10000,2567
跳得真的还可以 [蛆音娘_扶额],59814453,脚森吃我一拳,保密,10000,1480
真猛男版(･∀･),15011548,无口のZetton,男,10000,1164
内容的丰富度直接让我忽略画质,170950605,各位听我说22,保密,10000,890
ennnn，其实吧，把他们打扮干净，穿上一样的衣服，画风立刻帅气起来,171971143,葉葉葉葉柒言,保密,10000,896
主C真的帅，自信的眼神，严肃的表情，舞蹈人般的身材，以及节奏非常强烈的肥肉抖动和收吸，加上浪子一样的发型，天王的崛起。[响指],934922,凉凉Sprite,保密,10000,446553
内容,id,名称,性别,经验,点赞
在信息课戴耳机看视频来一句好骚啊然后无缝链接进了老师的提问，同学都笑疯了，怎么办才能挽回我的节操？,297402477,唉刚刚好的,保密,10000,75524
就算是这么糊的画质，我也能感受到他们不羁的灵魂,90420497,深夜诗人一起嗨,男,10000,183648
有年代感的画质(^・ω・^ ),4391496,一般通过纯爱,保密,10000,89237
虽然扮相是奔着生草去的，可是跳得却意外得不错？→_→,4918235,_Sasameyuki,保密,10000,65541
"新宝岛(×)
肥宅快乐岛(√)",38069460,涵绯涵,男,10000,79718
没有绚丽多彩的灯光，没有欢呼与尖叫，没有亮人眼球的服装，更没有迷人的五官与身材，夜已成了他们的唯一的舞台。那与背景音乐格格不入的表情，还有那刚柔并济的动作……这种舞让我感受到了自由与纯朴，快乐无忧。,328640562,猪杂汤饭没猪杂,男,10000,18773
跳的不错啊,31390010,我的茉优不喝咖啡,男,10000,30833
这才是舞蹈区真正该有的东西[小电视_赞],807279,ズルいよ,男,10000,20940
哈哈哈哈，还以为是搞笑的结果跳的真TM好[蛆音娘_大笑],3377291,里维莉雅,保密,10000,11542
"白 等 了（x）
等 错 了（x）
震 撼 派 舞 蹈 家（✔）",17046560,西风是条咸鱼,保密,10000,8668
这个视频告诉我们男人可以不帅，但是一定要骚(°∀°)ﾉ,3268825,百式罗音,男,10000,6801
明明身材是肥仔但看长相却意外的是个池面,10824352,bili_3675594032,保密,10000,4317
哈哈这脸面瘫一点表情都没，2个字专业,8651277,超哥我想拿货,保密,10000,3128
一镜到底，全损画质，不羁灵魂,22908250,ASherZX,保密,10000,2567
跳得真的还可以 [蛆音娘_扶额],59814453,脚森吃我一拳,保密,10000,1480
真猛男版(･∀･),15011548,无口のZetton,男,10000,1164
内容的丰富度直接让我忽略画质,170950605,各位听我说22,保密,10000,890
ennnn，其实吧，把他们打扮干净，穿上一样的衣服，画风立刻帅气起来,171971143,葉葉葉葉柒言,保密,10000,896
主C真的帅，自信的眼神，严肃的表情，舞蹈人般的身材，以及节奏非常强烈的肥肉抖动和收吸，加上浪子一样的发型，天王的崛起。[响指],934922,凉凉Sprite,保密,10000,446553
内容,id,名称,性别,经验,点赞
"1000W播放突破！！！感谢大家的支持！[小电视_害羞][小电视_害羞][小电视_害羞]

*另外重申一点是，视频属于转载，我是没有任何收益的哦~ [小电视_害羞]",930099,果厨果厨果,保密,10000,128308
私信被这个视频刷屏了，莫非真的很像？[惊讶],686127,籽岷,男,10000,357617
"第三次重申：本视频属于转载，没有任何收益的。

另外请不要在相关作品以及相关音乐下刷相关弹幕，避免不必要的麻烦。也请不要发人名跟刷无意义的弹幕，比如XX我知道你在看 之类的。

感谢合作 (｀・ω・´)",930099,果厨果厨果,保密,10000,291944
@床下有零食- 1.4亿力！(囍中囍),1960970954,超高校级的潘呈,男,10000,105
这个故事告诉我们，好视频不一定要顶级的画质,318633508,账号已注销,保密,5000,622
@小鸟是鸟 高清是资本的陷阱 模糊是不羁的灵魂,3493077792590308,宛平南路在逃重症,保密,10000,80
@冈格尼尔赛流星 1.4亿啊[惊讶],73680536,一灯大师-三寸天堂,保密,10000,6
"点进来前999.9万播放量，点进来一千万
。。。。
我感觉自己做了什么不得了的事情",106169490,灵梦齐柏林号,男,10000,2268
"原版舞蹈：av54104007
猛男版新宝岛：av53851218
猛男版激光雨：av58958765
猛男版书记舞：av55613871
猛男版恋爱循：av58749458
猛男版赛博朋克：av56467620
猛男版苏卡不列：av59078534
猛男版Bad guy:av59144549
猛男版苏喂苏喂：av59038540
猛男版凤舞九天：av59191138
猛男版黑帮摇：av59036484",38708740,账号已注销,保密,5000,184
动作好流畅_(:з」∠)_可能是我手机比较好,34579852,徐珺大哥,女,10000,742
不许再刷各种节日快乐了！！！把我的快乐源泉招式解说都顶掉了！！！！！！！！啊！！！！！！！！！！！！！！鲨了你们！！！！！！！！,3066515,干巴橙子皮,保密,10000,110
100 MILLION Views! Thank you all![给心心],483879799,猛男舞团IconX,保密,10000,26770
"提示：请不要跟风刷1亿助攻.
补弹幕指南：
请 选 择 你 的 英 雄
截 屏 选 老 婆
竹林七贤
黄 磊 早 期 作 品
朱一龙
嘿挡裤裆辣个那寂寞
众神归位
恐龙妈妈提笔忘字
上下打点
来逮一裤头
便宜点便宜点便宜点
你也鸟裤头
榴莲（牛奶）咖喱土豆豌豆梨西瓜咸蛋
仙人指路
猩猩挠头
狒狒挠树
秦王扫六合
宴请八方
龙卷风摧毁停车场
虚晃一枪
王の踉跄
一睹芳容
单枪匹马
大鹏展翅
物业敲门
鲤鱼打挺
百里甩狙
苏联解体
光翼展开
振荡试管
狗熊蹭树
老夫撩发少年狂
面部解锁
您的iPhone已解锁
梅开二度
（老人应该都知道各自位置[OK]）
有遗漏请补充，欢迎各位积极补弹幕
希望nc粉远离b站[无语]
复制的，积极举报评论里让人充能的，这里不是网络乞丐聚集地",239332218,吹吹小耳朵,保密,10000,87
"大家看看娱乐下即可，但希望大家不要去网易云等平台刷猛男啥的，避免一些人不了解情况，从而发生不必要的口角。感谢大家的合作 (｀・ω・´)

再次重申：本视频属于转载，请一些吃瓜群众抬杠前先看清楚 [小电视_害羞]",930099,果厨果厨果,保密,10000,33753
"[笑哭]完了 连B站官方都开始有“猛男新宝岛”这种说法了
本来他们跳加减乘除和新宝岛没有关系 新宝岛也和他们没有关系 无非就是二者的节奏重合做了个视频
现在可好 B站本身都是非不分开始乱搞了[笑哭]
不知道他们作为特别嘉宾被邀请后 知道自己是因为一个合成视频而爆火 会是什么样的心情",640523,linyifei,男,10000,296
吴奇隆？？（幻视）,36769193,ou宁静致远,保密,10000,19651
我就想知道，有的人是不是什么都不了解就做了视频，这个舞叫做加减乘除舞，而不是什么猛男翻跳的新宝岛，我现在严重怀疑有些人为了蹭热度而直接打上“猛男版新宝岛”这个标签直接去翻跳。为什么他们发视频时不直接打上“加减乘除舞+新宝岛”这个标签，还是说如果打上“加减乘除舞”这个标签就会没多少人看，这样混淆视听真的好吗？[生气],38293107,空条承太汪,男,10000,357
科普下原本的新宝岛：漫画大师手冢治虫于1947年出版的漫画作品《新宝岛》，至今被普遍公认为日本现代漫画的起点。手冢治虫在此作中开始尝试将电影的构图和蒙太奇手法运用到漫画的创作当中，他还首次通过在画面上绘制拟声词的方法，灵活表现了各种状态下发出的不同声音。这些对于漫画的革新，使日本剧画风行，奠定了当代日本卡通漫画的表现形式，确立了日本漫画意识形态。此作作为直接发行的红皮漫画单行本，未标示出版组织，暂定为1985年讲坛社《手冢治虫漫画全集》出版。,613341120,溪小镇网络科技公司,保密,10000,116
该影片采用长镜头对人物进行拍摄，客观的表达了人物精妙绝伦的舞姿和高冷不羁的面容，并且在运镜娴熟，于视频的尾端采用反复扭转摄影机不留痕迹的将其他演员送走，留下男主一人，然后拉近镜头，从而达到人脸的短暂的特写，那张唯一的脸，是无法用语言来形容的一张脸，他间接于帅与不帅之间。是人类进化史一笔浓墨。纵使心中是他有万语千言，到嘴边唯有一声叹息。该团队表达的东西岂是我们能悟出的?！?,12690650,我叫王大陆哈哈,保密,10000,145
内容,id,名称,性别,经验,点赞
"1.人长得好看 有点像张国荣+吴奇隆
2.跳得比热门榜的那几个好太多 也丰满
3.穿得也比热门的那几个少 虽然热门榜跳舞的那几个一次比一次穿得少一点",10181773,我是马萨嘎,保密,10000,1622
8000万啦！！,90538663,皮皮光本光,保密,10000,119
这也太糊了，人脸都看不清,88117958,小小红--嘿嘿---,保密,10000,24
我在等这批人,394986268,我11点睡8点起,男,10000,24
